중분류 (부위),소분류 (오염 항목),Level 1,Level 2,Level 3,Level 4
4. 뒷좌석,동물 털,10가닥 미만 (자세히 봐야 식별 가능),한 좌석에 털이 육안으로 식별 가능하게 뭉쳐있음,"여러 좌석에 털이 퍼져있으나, 손으로 털어낼 수 있는 수준",시트 섬유에 깊이 박혀 롤러/청소기로 쉽게 제거되지 않음
4. 뒷좌석,시트 얼룩,지름 2cm 미만의 마른 물 자국,지름 5cm 내외의 유색 단일 얼룩 (커피 등),"지름 10cm 이상의 얼룩, 끈적이는 액체가 굳은 자국, 구토물","얼룩이 곰팡이로 번졌거나, 시트 내부 스펀지까지 스며듦"
4. 뒷좌석,얼룩/쓰레기,"영수증, 마른 휴지 1개 (비위생X)","빈 커피 컵, 과자 봉지 2~3개","음식물 찌꺼기가 남은 포장 용기, 사용한 마스크/물티슈","음식물이 변색/변형되는 등 시각적으로 부패가 확인되거나, 쓰레기가 틈새에 박혀있음"
5. 전면,먼지/흙탕물/분진,광택만 저하된 얇은 먼지,빗물과 먼지가 섞여 도장면 색이 탁함,패널 50% 이상을 흙탕물/진흙이 덮어 원래 색을 가림,"시멘트 물, 공사장 분진, 페인트 날림 등 화학적 세척 필요"
5. 전면,벌레/새 배설물,벌레 사체 5개 미만,벌레 사체 10개 이상 또는 새 배설물 1개,여러 개의 새 배설물이 산재하여 즉각 제거 필요,전면부 30% 이상을 벌레/새 배설물이 덮어 도장면 손상이 확실함
6. 조수석 방향,먼지/흙탕물/분진,광택만 저하된 얇은 먼지,빗물과 먼지가 섞여 도장면 색이 탁함,패널 50% 이상을 흙탕물/진흙이 덮어 원래 색을 가림,"시멘트 물, 공사장 분진, 페인트 날림 등 화학적 세척 필요"
6. 조수석 방향,휠/타이어 오염,휠 표면에 옅은 분진 가루,휠이 검은 분진으로 덮여 원래 색상을 잃음,타이어까지 진흙이 덩어리로 묻어있음,휠/휠하우스에 아스팔트 타르가 검게 굳어있음 (특수 약품 필요)
7. 운전석 방향,먼지/흙탕물/분진,광택만 저하된 얇은 먼지,빗물과 먼지가 섞여 도장면 색이 탁함,패널 50% 이상을 흙탕물/진흙이 덮어 원래 색을 가림,"시멘트 물, 공사장 분진, 페인트 날림 등 화학적 세척 필요"
7. 운전석 방향,휠/타이어 오염,휠 표면에 옅은 분진 가루,휠이 검은 분진으로 덮여 원래 색상을 잃음,타이어까지 진흙이 덩어리로 묻어있음,휠/휠하우스에 아스팔트 타르가 검게 굳어있음 (특수 약품 필요)
8. 후면,먼지/흙탕물/분진,광택만 저하된 얇은 먼지,빗물과 먼지가 섞여 도장면 색이 탁함,패널 50% 이상을 흙탕물/진흙이 덮어 원래 색을 가림,"시멘트 물, 공사장 분진, 페인트 날림 등 화학적 세척 필요"
8. 후면,벌레/새 배설물,벌레 사체 5개 미만,벌레 사체 10개 이상 또는 새 배설물 1개,여러 개의 새 배설물이 산재하여 즉각 제거 필요,후면부 30% 이상을 오염물이 덮어 고착됨 (산성 손상 우려)
